rank,total_score,passes,source,listing_id,state,county,acres,price_usd,price_per_acre,title,url,lat,lon,score_state,score_acreage,score_price,score_water,score_access
1,0.7929,True,landsearch,5230364,IN,Jasper,240.0,1.0,0.0,"Rensselaer, IN 47978",https://www.landsearch.com/properties/3583-w-600-n-rensselaer-in-47978/5230364,,,1.0,0.867,1.0,0.5,0.5
2,0.7872,True,landwatch,425904284,MI,Berrien,245.0,66000.0,269.39,"Berrien Center, MI, 49102, Berrien County",https://www.landwatch.com/berrien-county-michigan-undeveloped-land-for-sale/pid/425904284,,,1.0,0.9,0.955,0.5,0.5
3,0.7872,True,landandfarm,40534165,MI,Berrien,245.0,66000.0,269.39,"Berrien Center, MI, 49102",https://www.landandfarm.com/property/land-berrien-center-mi-40534165/,,,1.0,0.9,0.955,0.5,0.5
4,0.7847,True,landwatch,423216758,WI,Waushara,264.0,171800.0,650.76,"Auroraville, WI, 54923, Waushara County",https://www.landwatch.com/waushara-county-wisconsin-recreational-property-for-sale/pid/423216758,,,1.0,0.973,0.892,0.5,0.5
5,0.7847,True,landandfarm,37846639,WI,Waushara,264.0,171800.0,650.76,"Auroraville, WI, 54923",https://www.landandfarm.com/property/264-acre-pond-hunting-land-37846639/,,,1.0,0.973,0.892,0.5,0.5
6,0.769,True,landwatch,422789478,MI,Chippewa,280.0,139999.0,500.0,"Trout Lake, MI, 49793, Chippewa County",https://www.landwatch.com/chippewa-county-michigan-recreational-property-for-sale/pid/422789478,,,1.0,0.867,0.917,0.5,0.5
7,0.769,True,landandfarm,37419359,MI,Chippewa,280.0,139999.0,500.0,"Trout Lake, MI, 49793",https://www.landandfarm.com/property/chippewa-county-280-acres-37419359/,,,1.0,0.867,0.917,0.5,0.5
8,0.7657,True,landsearch,5209010,NE,Wayne,299.0,1.0,0.0,"Wayne, NE 68062",https://www.landsearch.com/properties/584th-avenue-and-12th-rd-wayne-ne-68062/5209010,,,1.0,0.74,1.0,0.5,0.5
9,0.7653,True,landsearch,5121826,IA,Lee,533.0,1.0,0.0,"Montrose, IA 52639",https://www.landsearch.com/properties/239th-ave-montrose-ia-52639/5121826,,,1.0,0.738,1.0,0.5,0.5
10,0.765,True,landwatch,425527124,MN,Rock,283.0,139900.0,494.35,"Hills, MN, 56138, Rock County",https://www.landwatch.com/rock-county-minnesota-commercial-property-for-sale/pid/425527124,,,1.0,0.847,0.918,0.5,0.5
