rank,total_score,passes,source,listing_id,state,county,acres,price_usd,price_per_acre,title,url,lat,lon,score_state,score_acreage,score_price,score_water,score_access
1,0.7885,True,landwatch,422061877,TN,Shelby,650.0,450000.0,692.31,"Millington, TN, 38053, Shelby County",https://www.landwatch.com/shelby-county-tennessee-recreational-property-for-sale/pid/422061877,,,1.0,1.0,0.885,0.5,0.5
2,0.775,True,landwatch,422998316,NE,Kimball,662.0,550000.0,830.82,"Kimball, NE, 69145, Kimball County",https://www.landwatch.com/kimball-county-nebraska-farms-and-ranches-for-sale/pid/422998316,,,1.0,0.968,0.862,0.5,0.5
3,0.7709,True,landwatch,423673320,NE,Kimball,632.0,533800.0,844.62,"Bushnell, NE, 69128, Kimball County",https://www.landwatch.com/kimball-county-nebraska-farms-and-ranches-for-sale/pid/423673320,,,1.0,0.952,0.859,0.5,0.5
4,0.7671,True,landwatch,425765916,IN,Lake,5004.0,75000.0,14.99,"East Chicago, IN, 46312, Lake County",https://www.landwatch.com/lake-county-indiana-homes-for-sale/pid/425765916,,,1.0,0.75,0.998,0.5,0.5
5,0.7671,True,landwatch,426663518,ND,Ward,17010.0,262500.0,15.43,"Minot, ND, 58701, Ward County",https://www.landwatch.com/ward-county-north-dakota-homes-for-sale/pid/426663518,,,1.0,0.75,0.997,0.5,0.5
6,0.7666,True,landwatch,426545162,ND,Ward,6250.0,169900.0,27.18,"Minot, ND, 58701, Ward County",https://www.landwatch.com/ward-county-north-dakota-homes-for-sale/pid/426545162,,,1.0,0.75,0.995,0.5,0.5
7,0.7664,True,landwatch,426545313,MI,Allegan,15682.0,495000.0,31.56,"Saugatuck, MI, 49453, Allegan County",https://www.landwatch.com/allegan-county-michigan-lakefront-property-for-sale/pid/426545313,,,1.0,0.75,0.995,0.5,0.5
8,0.7661,True,landwatch,426645026,ND,Ward,14375.0,539000.0,37.5,"Surrey, ND, 58785, Ward County",https://www.landwatch.com/ward-county-north-dakota-homes-for-sale/pid/426645026,,,1.0,0.75,0.994,0.5,0.5
9,0.7658,True,landwatch,426508289,MS,Holmes,3936.0,167000.0,42.43,"West, MS, 39192, Holmes County",https://www.landwatch.com/holmes-county-mississippi-recreational-property-for-sale/pid/426508289,,,1.0,0.75,0.993,0.5,0.5
10,0.765,True,landandfarm,38304539,MS,Bolivar,13000.0,775000.0,59.62,"Beulah, MS, 38726",https://www.landandfarm.com/property/merigold-hunting-club-equity-share-38304539/,,,1.0,0.75,0.99,0.5,0.5
11,0.7646,True,landandfarm,38470168,KY,Morgan,644.0,722000.0,1121.12,"West Liberty, KY, 41472",https://www.landandfarm.com/property/644-acres-of-premium-hunting-and-recreational-paradise-in-morgan-county-ky-38470168/,,,1.0,0.984,0.813,0.5,0.5
12,0.7643,True,landwatch,426545824,NY,Suffolk,7405.0,549999.0,74.27,"Shirley, NY, 11967, Suffolk County",https://www.landwatch.com/suffolk-county-new-york-homes-for-sale/pid/426545824,,,1.0,0.75,0.988,0.5,0.5
13,0.764,True,landwatch,426663519,ND,Ward,7692.0,625000.0,81.25,"Minot, ND, 58701, Ward County",https://www.landwatch.com/ward-county-north-dakota-homes-for-sale/pid/426663519,,,1.0,0.75,0.986,0.5,0.5
14,0.7624,True,landwatch,424954214,MS,Coahoma,7000.0,795000.0,113.57,"Clarksdale, MS, 38614, Coahoma County",https://www.landwatch.com/coahoma-county-mississippi-recreational-property-for-sale/pid/424954214,,,1.0,0.75,0.981,0.5,0.5
15,0.7621,True,landwatch,426484409,IL,Cook,7500.0,900000.0,120.0,"Oak Park, IL, 60304, Cook County",https://www.landwatch.com/cook-county-illinois-homes-for-sale/pid/426484409,,,1.0,0.75,0.98,0.5,0.5
16,0.7618,True,landwatch,425453299,NC,Carteret,7472.0,950000.0,127.14,"Stacy, NC, 28581, Carteret County",https://www.landwatch.com/carteret-county-north-carolina-recreational-property-for-sale/pid/425453299,,,1.0,0.75,0.979,0.5,0.5
17,0.7615,True,landwatch,425266342,NY,Suffolk,6147.0,815000.0,132.59,"Lindenhurst, NY, 11757, Suffolk County",https://www.landwatch.com/suffolk-county-new-york-homes-for-sale/pid/425266342,,,1.0,0.75,0.978,0.5,0.5
18,0.7615,True,landwatch,426545853,NY,Nassau,11265.0,1499000.0,133.07,"Sea Cliff, NY, 11579, Nassau County",https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/426545853,,,1.0,0.75,0.978,0.5,0.5
19,0.7612,True,landandfarm,38966376,KY,Clay,1185.0,775000.0,654.01,"Oneida, KY, 40972",https://www.landandfarm.com/property/farms-oneida-ky-38966376/,,,1.0,0.864,0.891,0.5,0.5
20,0.7596,True,landwatch,426437302,KY,Greenup,3625.0,629000.0,173.52,"Ashland, KY, 41102, Greenup County",https://www.landwatch.com/greenup-county-kentucky-farms-and-ranches-for-sale/pid/426437302,,,1.0,0.75,0.971,0.5,0.5
21,0.7585,True,landwatch,424086611,NE,Brown,644.0,805000.0,1250.0,"Ainsworth, NE 69210",https://www.landwatch.com/brown-county-nebraska-farms-and-ranches-for-sale/pid/424086611,,,1.0,0.984,0.792,0.5,0.5
22,0.7574,True,landandfarm,40728090,KS,Grant,640.0,784000.0,1225.0,"Ulysses, KS, 67880",https://www.landandfarm.com/property/rebel-farm-ground-640-crp-tillable-40728090/,,,1.0,0.973,0.796,0.5,0.5
23,0.7572,True,landandfarm,38314188,MS,Issaquena,5560.0,1250000.0,224.82,"Fitler, MS, 39159",https://www.landandfarm.com/property/magna-vista-3-38314188/,,,1.0,0.75,0.963,0.5,0.5
24,0.7572,True,landwatch,425588963,NY,Nassau,6000.0,1349000.0,224.83,"Elmont, NY, 11003, Nassau County",https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/425588963,,,1.0,0.75,0.963,0.5,0.5
25,0.7562,True,landwatch,420738159,MI,Marquette,660.0,825000.0,1250.0,"Arnold, MI, 49819, Marquette County",https://www.landwatch.com/marquette-county-michigan-undeveloped-land-for-sale/pid/420738159,,,1.0,0.973,0.792,0.5,0.5
26,0.7556,True,landwatch,426508938,NY,Nassau,10000.0,2575000.0,257.5,"East Williston, NY, 11596, Nassau County",https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/426508938,,,1.0,0.75,0.957,0.5,0.5
27,0.7552,True,landwatch,426534096,NY,Queens,5000.0,1328000.0,265.6,"Bayside, NY, 11364, Queens County",https://www.landwatch.com/queens-county-new-york-homes-for-sale/pid/426534096,,,1.0,0.75,0.956,0.5,0.5
28,0.7544,True,landwatch,426426374,NY,Nassau,5500.0,1553000.0,282.36,"New Hyde Park, NY, 11040, Nassau County",https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/426426374,,,1.0,0.75,0.953,0.5,0.5
29,0.7539,True,landwatch,426013325,NY,Nassau,6000.0,1758000.0,293.0,"Great Neck, NY, 11021, Nassau County",https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/426013325,,,1.0,0.75,0.951,0.5,0.5
30,0.7536,True,landwatch,426171832,NY,Nassau,5500.0,1649000.0,299.82,"Valley Stream, NY, 11581, Nassau County",https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/426171832,,,1.0,0.75,0.95,0.5,0.5
31,0.7535,True,landwatch,425553461,NJ,Morris,999.0,275000.0,275.28,"Morris Plains, NJ, 07950, Morris County",https://www.landwatch.com/morris-county-new-jersey-homes-for-sale/pid/425553461,,,1.0,0.744,0.954,0.5,0.5
32,0.7532,True,landwatch,424966038,MS,Warren,6500.0,2000000.0,307.69,"Vicksburg, MS, 39183, Warren County",https://www.landwatch.com/warren-county-mississippi-recreational-property-for-sale/pid/424966038,,,1.0,0.75,0.949,0.5,0.5
33,0.7511,True,landwatch,426601378,NJ,Monmouth,715.0,499000.0,697.9,"Matawan, NJ, 07747, Monmouth County",https://www.landwatch.com/monmouth-county-new-jersey-homes-for-sale/pid/426601378,,,1.0,0.827,0.884,0.5,0.5
34,0.7508,True,landwatch,425972241,NE,Box Butte,639.0,864000.0,1352.11,"Hemingford, NE, 69348",https://www.landwatch.com/box-butte-county-nebraska-recreational-property-for-sale/pid/425972241,,,1.0,0.971,0.775,0.5,0.5
35,0.7455,True,landwatch,425405318,MI,Presque Isle,687.0,789999.0,1149.93,"Rogers City, MI, 49779, Presque Isle County",https://www.landwatch.com/presque-isle-county-michigan-undeveloped-land-for-sale/pid/425405318,,,1.0,0.901,0.808,0.5,0.5
36,0.7455,True,landwatch,423417803,MN,Ramsey,6060.0,2850000.0,470.3,"Saint Paul, MN, 55116, Ramsey County",https://www.landwatch.com/ramsey-county-minnesota-homes-for-sale/pid/423417803,,,1.0,0.75,0.922,0.5,0.5
37,0.7443,True,landwatch,426108912,NY,Nassau,4000.0,1975000.0,493.75,"Long Beach, NY, 11561, Nassau County",https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/426108912,,,1.0,0.75,0.918,0.5,0.5
38,0.7436,True,landandfarm,39167237,NY,Kings,4520.0,2300000.0,508.85,"Brooklyn, NY, 11230",https://www.landandfarm.com/property/1329-e-2nd-st-39167237/,,,1.0,0.75,0.915,0.5,0.5
39,0.7431,True,landwatch,426511881,NY,Queens,1056.0,799000.0,756.63,"Jamaica, NY, 11419, Queens County",https://www.landwatch.com/queens-county-new-york-homes-for-sale/pid/426511881,,,1.0,0.803,0.874,0.5,0.5
40,0.7422,True,landandfarm,40893485,TN,Morgan,615.0,765000.0,1243.9,"Oakdale, TN, 37829",https://www.landandfarm.com/property/morgan-615-40893485/,,,1.0,0.907,0.793,0.5,0.5
41,0.7397,True,landwatch,422540573,TX,Crockett,4652.0,2750000.0,591.14,"Ozona, TX, 76943, Crockett County",https://www.landwatch.com/crockett-county-texas-farms-and-ranches-for-sale/pid/422540573,,,1.0,0.75,0.901,0.5,0.5
42,0.7383,True,landwatch,421709347,KS,Pawnee,640.0,1040000.0,1625.0,"Nekoma, KS, 67559, Pawnee County",https://www.landwatch.com/pawnee-county-kansas-farms-and-ranches-for-sale/pid/421709347,,,1.0,0.973,0.729,0.5,0.5
43,0.7382,True,landwatch,425448534,NY,Queens,1250.0,1045000.0,836.0,"East Elmhurst, NY, 11370, Queens County",https://www.landwatch.com/queens-county-new-york-homes-for-sale/pid/425448534,,,1.0,0.798,0.861,0.5,0.5
44,0.7371,True,landwatch,424162588,VA,Giles,620.0,875000.0,1411.29,"Narrows, VA, 24124, Giles County",https://www.landwatch.com/giles-county-virginia-farms-and-ranches-for-sale/pid/424162588,,,1.0,0.92,0.765,0.5,0.5
45,0.7365,True,landsearch,5119209,NE,Box Butte,593.0,652600.0,1100.51,"Hemingford, NE 69348",https://www.landsearch.com/properties/county-road-86-hemingford-ne-69348/5119209,,,1.0,0.848,0.817,0.5,0.5
46,0.7341,True,landwatch,425972810,NY,Queens,2500.0,650000.0,260.0,"Jamaica, NY, 11412, Queens County",https://www.landwatch.com/queens-county-new-york-homes-for-sale/pid/425972810,,,1.0,0.65,0.957,0.5,0.5
47,0.7309,True,landwatch,426289687,NJ,Atlantic,929.0,395000.0,425.19,"Atlantic City, NJ, 08401, Atlantic County",https://www.landwatch.com/atlantic-county-new-jersey-undeveloped-land-for-sale/pid/426289687,,,1.0,0.672,0.929,0.5,0.5
48,0.73,True,landwatch,425795609,SD,Butte,640.0,1152000.0,1800.0,"Newell, SD, 57760, Butte County",https://www.landwatch.com/butte-county-south-dakota-farms-and-ranches-for-sale/pid/425795609,,,1.0,0.973,0.7,0.5,0.5
49,0.7293,True,landwatch,426668203,NY,Queens,2500.0,899000.0,359.6,"Richmond Hill, NY, 11419, Queens County",https://www.landwatch.com/queens-county-new-york-homes-for-sale/pid/426668203,,,1.0,0.65,0.94,0.5,0.5
50,0.7285,True,landandfarm,35693379,AR,Clark,609.0,889000.0,1459.77,"Arkadelphia, AR, 71923",https://www.landandfarm.com/property/609-acres-of-prime-hunting-and-timber-investment-land-35693379/,,,1.0,0.891,0.757,0.5,0.5
51,0.7244,True,landwatch,423480565,AR,Nevada,1230.0,1500000.0,1219.51,"Prescott, AR, 71857, Nevada County",https://www.landwatch.com/nevada-county-arkansas-farms-and-ranches-for-sale/pid/423480565,,,1.0,0.818,0.797,0.5,0.5
52,0.724,True,landwatch,423936277,KS,Pawnee,626.0,1100000.0,1757.19,"Rozel, KS, 67574, Pawnee County",https://www.landwatch.com/pawnee-county-kansas-farms-and-ranches-for-sale/pid/423936277,,,1.0,0.936,0.707,0.5,0.5
53,0.7223,True,landwatch,419186813,TN,Van Buren,1233.0,1541250.0,1250.0,"Sparta, TN, 38583, Van Buren County",https://www.landwatch.com/van-buren-county-tennessee-recreational-property-for-sale/pid/419186813,,,1.0,0.815,0.792,0.5,0.5
54,0.7218,True,landwatch,426651248,NY,Queens,1967.0,899000.0,457.04,"Flushing, NY, 11355, Queens County",https://www.landwatch.com/queens-county-new-york-homes-for-sale/pid/426651248,,,1.0,0.637,0.924,0.5,0.5
55,0.7209,True,landandfarm,41013564,VA,Middlesex,658.0,1326200.0,2015.5,"Saluda, VA, 23149",https://www.landandfarm.com/property/land-saluda-va-41013564/,,,1.0,0.979,0.664,0.5,0.5
56,0.7208,True,landwatch,423278486,KS,Harper,630.0,1180000.0,1873.02,"Waldron, KS, 67150, Harper County",https://www.landwatch.com/harper-county-kansas-farms-and-ranches-for-sale/pid/423278486,,,1.0,0.947,0.688,0.5,0.5
