rank,total_score,passes,source,listing_id,state,county,acres,price_usd,price_per_acre,title,url,lat,lon,score_state,score_acreage,score_price,score_water,score_access
762,0.5946,True,landwatch,426286943,OK,Hughes,240.0,999000.0,4162.5,"Holdenville, OK, 74848, Hughes County",https://www.landwatch.com/hughes-county-oklahoma-recreational-property-for-sale/pid/426286943,,,1.0,0.867,0.306,0.5,0.5
763,0.5946,True,landandfarm,41030921,GA,Hancock,221.0,794015.0,3592.83,"Sparta, GA, 31087",https://www.landandfarm.com/property/fort-creek-timberlands-41030921/,,,1.0,0.74,0.401,0.5,0.5
764,0.5945,True,landwatch,426343471,IL,Alexander,381.0,1195000.0,3136.48,"Thebes, IL, 62990, Alexander County",https://www.landwatch.com/alexander-county-illinois-recreational-property-for-sale/pid/426343471,,,1.0,0.638,0.477,0.5,0.5
765,0.5945,True,landwatch,416716261,AR,Lafayette,704.0,1585282.0,2251.82,"Lewisville, AR, 71845, Lafayette County",https://www.landwatch.com/lafayette-county-arkansas-recreational-property-for-sale/pid/416716261,,,1.0,0.441,0.625,0.5,0.5
766,0.5943,True,landwatch,425292414,KS,Chautauqua,572.0,1840000.0,3216.78,"Sedan, KS, 67361, Chautauqua County",https://www.landwatch.com/chautauqua-county-kansas-farms-and-ranches-for-sale/pid/425292414,,,1.0,0.655,0.464,0.5,0.5
767,0.5943,True,landwatch,424423418,MS,Desoto,329.0,869000.0,2641.34,"Hernando, MS, 38632, DeSoto County",https://www.landwatch.com/desoto-county-mississippi-recreational-property-for-sale/pid/424423418,,,1.0,0.527,0.56,0.5,0.5
768,0.5942,True,landwatch,422080113,TN,Scott,374.0,1150000.0,3074.87,"Robbins, TN, 37852, Scott County",https://www.landwatch.com/scott-county-tennessee-recreational-property-for-sale/pid/422080113,,,1.0,0.623,0.488,0.5,0.5
769,0.5938,True,landwatch,424841889,GA,Wilkinson,204.0,632400.0,3100.0,"Toomsboro, GA, 31090, Wilkinson County",https://www.landwatch.com/wilkinson-county-georgia-recreational-property-for-sale/pid/424841889,,,1.0,0.627,0.483,0.5,0.5
770,0.5936,True,landwatch,425436018,OK,Pittsburg,460.0,1800000.0,3913.04,"Mcalester, OK, 74501, Pittsburg County",https://www.landwatch.com/pittsburg-county-oklahoma-farms-and-ranches-for-sale/pid/425436018,,,1.0,0.806,0.348,0.5,0.5
771,0.5935,True,landwatch,425392129,NC,Richmond,273.0,1200000.0,4395.6,"Rockingham, NC, 28379, Richmond County",https://www.landwatch.com/richmond-county-north-carolina-recreational-property-for-sale/pid/425392129,,,1.0,0.913,0.267,0.5,0.5
772,0.5935,True,landwatch,413366192,OK,Sequoyah,635.0,1669500.0,2629.13,"Minutes from Muskogee, OK",https://www.landwatch.com/sequoyah-county-oklahoma-recreational-property-for-sale/pid/413366192,,,1.0,0.521,0.562,0.5,0.5
773,0.5934,True,landwatch,424890428,NC,Richmond,378.0,1183000.0,3129.63,"Ellerbe, NC, 28338, Richmond County",https://www.landwatch.com/richmond-county-north-carolina-recreational-property-for-sale/pid/424890428,,,1.0,0.632,0.478,0.5,0.5
774,0.5934,True,landwatch,416373024,VA,Surry,203.0,625000.0,3078.82,"Waverly, VA, 23890, Surry County",https://www.landwatch.com/surry-county-virginia-recreational-property-for-sale/pid/416373024,,,1.0,0.62,0.487,0.5,0.5
775,0.5934,True,landsearch,5222352,MO,Douglas,373.0,1150000.0,3083.11,"Ava, MO 65608",https://www.landsearch.com/properties/county-road-321-rte-5-ava-mo-65608/5222352,,,1.0,0.621,0.486,0.5,0.5
776,0.5934,True,landwatch,418597859,NY,Jefferson,435.0,1600000.0,3678.16,"Henderson, NY, 13650, Jefferson County",https://www.landwatch.com/jefferson-county-new-york-recreational-property-for-sale/pid/418597859,,,1.0,0.753,0.387,0.5,0.5
777,0.5933,True,landwatch,422508913,MI,Alger,485.0,1975000.0,4072.16,"Au Train, MI, 49806, Alger County",https://www.landwatch.com/alger-county-michigan-timberland-property-for-sale/pid/422508913,,,1.0,0.84,0.321,0.5,0.5
778,0.5933,True,landwatch,425720115,KY,Butler,220.0,789900.0,3590.45,"Morgantown, KY, 42261, Butler County",https://www.landwatch.com/butler-county-kentucky-recreational-property-for-sale/pid/425720115,,,1.0,0.733,0.402,0.5,0.5
779,0.5933,True,landwatch,426021645,KY,Hopkins,576.0,1843200.0,3200.0,"Nortonville, KY, 42442, Hopkins County",https://www.landwatch.com/hopkins-county-kentucky-farms-and-ranches-for-sale/pid/426021645,,,1.0,0.646,0.467,0.5,0.5
780,0.5932,True,landwatch,421528394,AR,Ashley,390.0,1267500.0,3250.0,"Crossett, AR, 71635, Ashley County",https://www.landwatch.com/ashley-county-arkansas-recreational-property-for-sale/pid/421528394,,,1.0,0.657,0.458,0.5,0.5
781,0.5929,True,landwatch,425554423,AR,Lawrence,200.0,600000.0,3000.0,"Ravenden, AR, 72459, Lawrence County",https://www.landwatch.com/lawrence-county-arkansas-recreational-property-for-sale/pid/425554423,,,1.0,0.6,0.5,0.5,0.5
782,0.5929,True,landwatch,425614849,GA,Wilcox,245.0,1065750.0,4350.0,"Rochelle, GA, 31079, Wilcox County",https://www.landwatch.com/wilcox-county-georgia-recreational-property-for-sale/pid/425614849,,,1.0,0.9,0.275,0.5,0.5
783,0.5929,True,landandfarm,40995579,AL,Tuscaloosa,270.0,1215000.0,4500.0,"Buhl, AL, 35446",https://www.landandfarm.com/property/hammer-creek-hunting-timber-homesite-40995579/,,,1.0,0.933,0.25,0.5,0.5
784,0.5929,True,landsearch,5227975,AR,Searcy,780.0,2000000.0,2564.1,"Leslie, AR 72645",https://www.landsearch.com/properties/319-gooseberry-ln-leslie-ar-72645/5227975,,,1.0,0.503,0.573,0.5,0.5
785,0.5923,True,landandfarm,39354741,MS,Lafayette,404.0,1375000.0,3403.47,"Oxford, MS, 38655",https://www.landandfarm.com/property/lafayette-404-39354741/,,,1.0,0.687,0.433,0.5,0.5
786,0.5921,True,landwatch,425347546,NY,Delaware,1184.0,2868000.0,2422.3,"Hancock, NY, 13783, Delaware County",https://www.landwatch.com/delaware-county-new-york-timberland-property-for-sale/pid/425347546,,,1.0,0.468,0.596,0.5,0.5
787,0.5921,True,landwatch,425374288,WI,Bayfield,384.0,1235000.0,3216.15,"Iron River, WI, 54847, Bayfield County",https://www.landwatch.com/bayfield-county-wisconsin-undeveloped-land-for-sale/pid/425374288,,,1.0,0.644,0.464,0.5,0.5
